S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
167,NIBSF2,7.40,0.00,0.00,7.26,7.40,7.26,7500.00,7.40,
168,NICA,513.90,1.90,0.37,515.00,524.90,512.00,32342.00,512.00,
169,NICBF,9.18,0.26,2.91,9.09,9.18,8.92,4220.00,8.92,
170,NICFC,8.79,0.03,0.34,8.61,9.00,8.61,62650.00,8.76,
171,NICGF,9.49,0.04,0.42,9.45,9.58,9.40,52900.00,9.45,
172,NICL,927.00,-33.00,-3.44,970.00,970.00,927.00,55702.00,960.00,
173,NICLBSL,620.00,-8.00,-1.27,615.70,634.00,613.00,9883.00,628.00,
174,NICSF,9.01,-0.14,-1.53,9.00,9.13,9.00,48280.00,9.15,
175,NIFRA,207.90,-2.60,-1.24,211.00,216.10,207.00,133476.00,210.50,
176,NIL,847.00,-14.00,-1.63,865.90,866.00,846.00,14547.00,861.00,
177,NIMB,176.80,-1.20,-0.67,181.00,181.00,176.80,69687.00,178.00,
178,NIMBPO,143.20,-5.10,-3.44,146.00,148.70,143.20,13432.00,148.30,
179,NLBBL,558.00,2.50,0.45,566.00,577.20,556.00,8959.00,555.50,
180,NLG,863.50,-6.50,-0.75,887.00,887.00,863.50,23540.00,870.00,
181,NLIC,667.00,-7.50,-1.11,674.60,685.00,665.00,37725.00,674.50,
182,NLICL,608.00,-4.00,-0.65,613.00,619.00,605.00,17635.00,612.00,
183,NMB,202.50,-1.20,-0.59,203.70,205.00,202.00,35429.00,203.70,
184,NMB50,9.22,-0.18,-1.91,9.58,9.74,9.22,172399.00,9.40,
185,NMBD2085,998.00,4.00,0.40,998.00,998.00,998.00,50.00,994.00,
186,NMBMF,536.10,-10.90,-1.99,554.00,554.00,536.10,1710.00,547.00,
187,NMFBS,1065.00,-35.00,-3.18,1100.00,1120.00,1062.00,3261.00,1100.00,
188,NRIC,675.00,-11.10,-1.62,680.00,731.30,670.00,47197.00,686.10,
189,NRM,409.00,-14.20,-3.36,431.60,435.00,400.00,175079.00,423.20,
190,NRN,451.10,2.10,0.47,454.00,474.00,447.00,204257.00,449.00,
191,NSIF2,9.11,-0.04,-0.44,9.10,9.15,9.10,5110.00,9.15,
192,NTC,942.00,1.00,0.11,955.00,955.00,935.00,55788.00,941.00,
193,NUBL,619.00,-2.10,-0.34,622.10,630.00,616.00,9203.00,621.10,
194,NWCL,335.90,30.50,9.99,311.50,335.90,311.50,2381.00,305.40,
195,NYADI,282.50,20.20,7.70,262.30,288.50,262.00,59468.00,262.30,
196,OHL,830.00,-3.90,-0.47,840.00,845.00,825.00,4797.00,833.90,
197,PBD85,877.00,16.80,1.95,877.00,877.00,877.00,10.00,860.20,
198,PBD88,965.00,0.00,0.00,955.00,965.00,955.00,55.00,965.00,
